"geo_accession"	"tissue"	"title"	"status"	"submission_date"	"last_update_date"	"type"	"channel_count"	"source_name_ch1"	"organism_ch1"	"characteristics_ch1"	"molecule_ch1"	"extract_protocol_ch1"	"label_ch1"	"label_protocol_ch1"	"taxid_ch1"	"hyb_protocol"	"scan_protocol"	"data_processing"	"platform_id"	"contact_name"	"contact_email"	"contact_department"	"contact_institute"	"contact_address"	"contact_city"	"contact_state"	"contact_zip/postal_code"	"contact_country"	"supplementary_file"	"data_row_count"	"tissue:ch1"
"GSM2301775"	"micropapillary bladder tumors"	"MDA Micropapillary bladder tumor MDA MP1"	"Public on Sep 03 2016"	"Sep 02 2016"	"Sep 03 2016"	"RNA"	"1"	"Bladder tumor tissue embeded in parffin block"	"Homo sapiens"	"tissue: micropapillary bladder tumors"	"total RNA"	"RNA was extracted with MasterPure Complete Purification Kit from Epicentre in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyzer."	"biotin"	"Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays"	"9606"	"Standard Illumina hybridization protocol"	"Standard Illumina scanning protocol"	"Quantile normalization in the Linear Model for Microarray Data (LIMMA)"	"GPL14951"	"Li,,Zhang"	"zhangli271828@gmail.com"	"Bioinformatics"	"The University of Texas MD Anderson Cancer Center"	"1400 Pressler, unit 1410"	"Houston"	"TX"	"77230"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2301nnn/GSM2301775/suppl/GSM2301775_7656774068_A_Grn.idat.gz"	"29377"	"micropapillary bladder tumors"
"GSM2301776"	"micropapillary bladder tumors"	"MDA Micropapillary bladder tumor MDA MP2"	"Public on Sep 03 2016"	"Sep 02 2016"	"Sep 03 2016"	"RNA"	"1"	"Bladder tumor tissue embeded in parffin block"	"Homo sapiens"	"tissue: micropapillary bladder tumors"	"total RNA"	"RNA was extracted with MasterPure Complete Purification Kit from Epicentre in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyzer."	"biotin"	"Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays"	"9606"	"Standard Illumina hybridization protocol"	"Standard Illumina scanning protocol"	"Quantile normalization in the Linear Model for Microarray Data (LIMMA)"	"GPL14951"	"Li,,Zhang"	"zhangli271828@gmail.com"	"Bioinformatics"	"The University of Texas MD Anderson Cancer Center"	"1400 Pressler, unit 1410"	"Houston"	"TX"	"77230"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2301nnn/GSM2301776/suppl/GSM2301776_7656774068_B_Grn.idat.gz"	"29377"	"micropapillary bladder tumors"
"GSM2301777"	"micropapillary bladder tumors"	"MDA Micropapillary bladder tumor MDA MP3"	"Public on Sep 03 2016"	"Sep 02 2016"	"Sep 03 2016"	"RNA"	"1"	"Bladder tumor tissue embeded in parffin block"	"Homo sapiens"	"tissue: micropapillary bladder tumors"	"total RNA"	"RNA was extracted with MasterPure Complete Purification Kit from Epicentre in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyzer."	"biotin"	"Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays"	"9606"	"Standard Illumina hybridization protocol"	"Standard Illumina scanning protocol"	"Quantile normalization in the Linear Model for Microarray Data (LIMMA)"	"GPL14951"	"Li,,Zhang"	"zhangli271828@gmail.com"	"Bioinformatics"	"The University of Texas MD Anderson Cancer Center"	"1400 Pressler, unit 1410"	"Houston"	"TX"	"77230"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2301nnn/GSM2301777/suppl/GSM2301777_7656774068_C_Grn.idat.gz"	"29377"	"micropapillary bladder tumors"
"GSM2301778"	"micropapillary bladder tumors"	"MDA Micropapillary bladder tumor MDA MP4"	"Public on Sep 03 2016"	"Sep 02 2016"	"Sep 03 2016"	"RNA"	"1"	"Bladder tumor tissue embeded in parffin block"	"Homo sapiens"	"tissue: micropapillary bladder tumors"	"total RNA"	"RNA was extracted with MasterPure Complete Purification Kit from Epicentre in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyzer."	"biotin"	"Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays"	"9606"	"Standard Illumina hybridization protocol"	"Standard Illumina scanning protocol"	"Quantile normalization in the Linear Model for Microarray Data (LIMMA)"	"GPL14951"	"Li,,Zhang"	"zhangli271828@gmail.com"	"Bioinformatics"	"The University of Texas MD Anderson Cancer Center"	"1400 Pressler, unit 1410"	"Houston"	"TX"	"77230"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2301nnn/GSM2301778/suppl/GSM2301778_7656774068_D_Grn.idat.gz"	"29377"	"micropapillary bladder tumors"
"GSM2301779"	"micropapillary bladder tumors"	"MDA Micropapillary bladder tumor MDA MP5"	"Public on Sep 03 2016"	"Sep 02 2016"	"Sep 03 2016"	"RNA"	"1"	"Bladder tumor tissue embeded in parffin block"	"Homo sapiens"	"tissue: micropapillary bladder tumors"	"total RNA"	"RNA was extracted with MasterPure Complete Purification Kit from Epicentre in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyzer."	"biotin"	"Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays"	"9606"	"Standard Illumina hybridization protocol"	"Standard Illumina scanning protocol"	"Quantile normalization in the Linear Model for Microarray Data (LIMMA)"	"GPL14951"	"Li,,Zhang"	"zhangli271828@gmail.com"	"Bioinformatics"	"The University of Texas MD Anderson Cancer Center"	"1400 Pressler, unit 1410"	"Houston"	"TX"	"77230"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2301nnn/GSM2301779/suppl/GSM2301779_7656774068_E_Grn.idat.gz"	"29377"	"micropapillary bladder tumors"
"GSM2301780"	"micropapillary bladder tumors"	"MDA Micropapillary bladder tumor MDA MP6"	"Public on Sep 03 2016"	"Sep 02 2016"	"Sep 03 2016"	"RNA"	"1"	"Bladder tumor tissue embeded in parffin block"	"Homo sapiens"	"tissue: micropapillary bladder tumors"	"total RNA"	"RNA was extracted with MasterPure Complete Purification Kit from Epicentre in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyzer."	"biotin"	"Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays"	"9606"	"Standard Illumina hybridization protocol"	"Standard Illumina scanning protocol"	"Quantile normalization in the Linear Model for Microarray Data (LIMMA)"	"GPL14951"	"Li,,Zhang"	"zhangli271828@gmail.com"	"Bioinformatics"	"The University of Texas MD Anderson Cancer Center"	"1400 Pressler, unit 1410"	"Houston"	"TX"	"77230"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2301nnn/GSM2301780/suppl/GSM2301780_7656774068_F_Grn.idat.gz"	"29377"	"micropapillary bladder tumors"
"GSM2301781"	"micropapillary bladder tumors"	"MDA Micropapillary bladder tumor MDA MP7"	"Public on Sep 03 2016"	"Sep 02 2016"	"Sep 03 2016"	"RNA"	"1"	"Bladder tumor tissue embeded in parffin block"	"Homo sapiens"	"tissue: micropapillary bladder tumors"	"total RNA"	"RNA was extracted with MasterPure Complete Purification Kit from Epicentre in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyzer."	"biotin"	"Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays"	"9606"	"Standard Illumina hybridization protocol"	"Standard Illumina scanning protocol"	"Quantile normalization in the Linear Model for Microarray Data (LIMMA)"	"GPL14951"	"Li,,Zhang"	"zhangli271828@gmail.com"	"Bioinformatics"	"The University of Texas MD Anderson Cancer Center"	"1400 Pressler, unit 1410"	"Houston"	"TX"	"77230"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2301nnn/GSM2301781/suppl/GSM2301781_7656774068_G_Grn.idat.gz"	"29377"	"micropapillary bladder tumors"
"GSM2301782"	"micropapillary bladder tumors"	"MDA Micropapillary bladder tumor MDA MP8"	"Public on Sep 03 2016"	"Sep 02 2016"	"Sep 03 2016"	"RNA"	"1"	"Bladder tumor tissue embeded in parffin block"	"Homo sapiens"	"tissue: micropapillary bladder tumors"	"total RNA"	"RNA was extracted with MasterPure Complete Purification Kit from Epicentre in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyzer."	"biotin"	"Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays"	"9606"	"Standard Illumina hybridization protocol"	"Standard Illumina scanning protocol"	"Quantile normalization in the Linear Model for Microarray Data (LIMMA)"	"GPL14951"	"Li,,Zhang"	"zhangli271828@gmail.com"	"Bioinformatics"	"The University of Texas MD Anderson Cancer Center"	"1400 Pressler, unit 1410"	"Houston"	"TX"	"77230"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2301nnn/GSM2301782/suppl/GSM2301782_7656774068_H_Grn.idat.gz"	"29377"	"micropapillary bladder tumors"
"GSM2301783"	"micropapillary bladder tumors"	"MDA Micropapillary bladder tumor MDA MP9"	"Public on Sep 03 2016"	"Sep 02 2016"	"Sep 03 2016"	"RNA"	"1"	"Bladder tumor tissue embeded in parffin block"	"Homo sapiens"	"tissue: micropapillary bladder tumors"	"total RNA"	"RNA was extracted with MasterPure Complete Purification Kit from Epicentre in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyzer."	"biotin"	"Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays"	"9606"	"Standard Illumina hybridization protocol"	"Standard Illumina scanning protocol"	"Quantile normalization in the Linear Model for Microarray Data (LIMMA)"	"GPL14951"	"Li,,Zhang"	"zhangli271828@gmail.com"	"Bioinformatics"	"The University of Texas MD Anderson Cancer Center"	"1400 Pressler, unit 1410"	"Houston"	"TX"	"77230"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2301nnn/GSM2301783/suppl/GSM2301783_7656774068_I_Grn.idat.gz"	"29377"	"micropapillary bladder tumors"
"GSM2301784"	"micropapillary bladder tumors"	"MDA Micropapillary bladder tumor MDA MP10"	"Public on Sep 03 2016"	"Sep 02 2016"	"Sep 03 2016"	"RNA"	"1"	"Bladder tumor tissue embeded in parffin block"	"Homo sapiens"	"tissue: micropapillary bladder tumors"	"total RNA"	"RNA was extracted with MasterPure Complete Purification Kit from Epicentre in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyzer."	"biotin"	"Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays"	"9606"	"Standard Illumina hybridization protocol"	"Standard Illumina scanning protocol"	"Quantile normalization in the Linear Model for Microarray Data (LIMMA)"	"GPL14951"	"Li,,Zhang"	"zhangli271828@gmail.com"	"Bioinformatics"	"The University of Texas MD Anderson Cancer Center"	"1400 Pressler, unit 1410"	"Houston"	"TX"	"77230"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2301nnn/GSM2301784/suppl/GSM2301784_7656774068_J_Grn.idat.gz"	"29377"	"micropapillary bladder tumors"
